country,activeUsers,sessions,engagedSessions,keyEvents
India,1977,2463,1401,348
United States,13,16,8,1
United Arab Emirates,6,7,3,3
Germany,3,4,2,0
Pakistan,3,4,3,2
Australia,2,2,1,0
Italy,2,2,2,0
Mexico,2,2,1,0
Netherlands,2,2,2,0
Oman,2,2,1,0
Qatar,2,3,1,3
Saudi Arabia,2,3,3,2
Uganda,2,2,2,0
(not set),1,1,1,0
Austria,1,1,1,0
Barbados,1,1,1,0
Canada,1,1,1,0
Kuwait,1,1,1,0
Malaysia,1,1,1,0
Mauritius,1,1,0,0
Nepal,1,1,1,0
New Zealand,1,3,0,0
Philippines,1,1,1,0
Singapore,1,1,0,0
South Korea,1,1,0,0
Switzerland,1,3,1,1
Thailand,1,1,0,0
United Kingdom,1,2,0,0
